
# Surface 0 of 1 surfaces

# Curve title: ""Gradient-descent_contourtmp0.dat""

# Contour 0, label:      900
-4.58334 -1.59202  300 
-4.42454 -1.66672  300 
-4.16668 -1.78182  300 
-3.75002 -1.97149  300 
-3.50896 -2.08338  300 
-3.33336 -2.16077  300 
-2.9167 -2.34648  300 
-2.58146 -2.50004  300 
-2.50004 -2.53548  300 
-2.08338 -2.71715  300 
-1.66672 -2.90509  300 
-1.64093 -2.9167  300 
-1.25006 -3.08368  300 
-0.8334 -3.26712  300 
-0.684291 -3.33336  300 
-0.41674 -3.44622  300 
-7.999e-05 -3.62513  300 
 0.2848 -3.75002  300 
 0.41658 -3.80491  300 
 0.83324 -3.97926  300 
 1.2499 -4.15928  300 
 1.26712 -4.16668  300 
 1.66656 -4.32967  300 
 2.08322 -4.50466  300 
 2.26867 -4.58334  300 
 2.49988 -4.6765  300 
 2.91654 -4.84644  300 
 3.28325 -5  300 

# Contour 17, label: 
 1.4497  4.99984  300 
 1.66656  4.9023  300 
 2.08322  4.7178  300 
 2.39438  4.58318  300 
 2.49988  4.53509  300 
 2.91654  4.34631  300 
 3.32681  4.16652  300 
 3.3332  4.16357  300 
 3.74986  3.97057  300 
 4.16652  3.78425  300 
 4.24362  3.74986  300 
 4.58318  3.5904  300 
 4.99984  3.40032  300 


# Contour 18, label:      250
-5 -0.986488  250 
-4.58334 -1.18183  250 
-4.43962 -1.25006  250 
-4.16668 -1.37237  250 
-3.75002 -1.5635  250 
-3.52935 -1.66672  250 
-3.33336 -1.75333  250 
-2.9167 -1.94016  250 
-2.60605 -2.08338  250 
-2.50004 -2.12959  250 
-2.08338 -2.31203  250 
-1.66971 -2.50004  250 
-1.66672 -2.50133  250 
-1.25006 -2.67932  250 
-0.8334 -2.8638  250 
-0.714754 -2.9167  250 
-0.41674 -3.04221  250 
-7.999e-05 -3.2217  250 
 0.254032 -3.33336  250 
 0.41658 -3.40089  250 
 0.83324 -3.57535  250 
 1.2365 -3.75002  250 
 1.2499 -3.75551  250 
 1.66656 -3.92492  250 
 2.08322 -4.10006  250 
 2.24039 -4.16668  250 
 2.49988 -4.27058  250 
 2.91654 -4.44012  250 
 3.25937 -4.58334  250 
 3.3332 -4.6125  250 
 3.74986 -4.77644  250 
 4.16652 -4.9457  250 
 4.29964 -5  250 

# Contour 19, label: 
 0.522909  4.99984  250 
 0.83324  4.86159  250 
 1.2499  4.68075  250 
 1.47834  4.58318  250 
 1.66656  4.49811  250 
 2.08322  4.31252  250 
 2.42036  4.16652  250 
 2.49988  4.13005  250 
 2.91654  3.93977  250 
 3.3332  3.7565  250 
 3.34823  3.74986  250 
 3.74986  3.5623  250 
 4.16652  3.37489  250 
 4.25963  3.3332  250 
 4.58318  3.1799  250 
 4.99984  2.98845  250 


# Contour 20, label:      200
-5 -0.529491  200 
-4.58334 -0.724774  200 
-4.35708 -0.8334  200 
-4.16668 -0.919126  200 
-3.75002 -1.1099  200 
-3.45324 -1.25006  200 
-3.33336 -1.30321  200 
-2.9167 -1.48935  200 
-2.535 -1.66672  200 
-2.50004 -1.68199  200 
-2.08338 -1.86339  200 
-1.66672 -2.05249  200 
-1.59886 -2.08338  200 
-1.25006 -2.23228  200 
-0.8334 -2.41596  200 
-0.645629 -2.50004  200 
-0.41674 -2.59626  200 
-7.999e-05 -2.77444  200 
 0.322785 -2.9167  200 
 0.41658 -2.95553  200 
 0.83324 -3.12819  200 
 1.2499 -3.30765  200 
 1.30964 -3.33336  200 
 1.66656 -3.47741  200 
 2.08322 -3.65064  200 
 2.31797 -3.75002  200 
 2.49988 -3.82231  200 
 2.91654 -3.98931  200 
 3.3332 -4.16267  200 
 3.34292 -4.16668  200 
 3.74986 -4.32387  200 
 4.16652 -4.49027  200 
 4.39606 -4.58334  200 
 4.58318 -4.65449  200 
 4.99984 -4.81397  200 

# Contour 21, label: 
-0.518448  4.99984  200 
-0.41674  4.95535  200 
-7.999e-05  4.77397  200 
 0.41658  4.59954  200 
 0.455485  4.58318  200 
 0.83324  4.41418  200 
 1.2499  4.2345  200 
 1.40912  4.16652  200 
 1.66656  4.04948  200 
 2.08322  3.86461  200 
 2.34791  3.74986  200 
 2.49988  3.67963  200 
 2.91654  3.48965  200 
 3.27184  3.3332  200 
 3.3332  3.30437  200 
 3.74986  3.10938  200 
 4.16652  2.92269  200 
 4.18018  2.91654  200 
 4.58318  2.72353  200 
 4.99984  2.53252  200 


# Contour 22, label:      150
-5 -0.0106621  150 
-4.58334 -0.202389  150 
-4.16668 -0.404561  150 
-4.14163 -0.41674  150 
-3.75002 -0.59307  150 
-3.33336 -0.789782  150 
-3.24184 -0.8334  150 
-2.9167 -0.977156  150 
-2.50004 -1.16824  150 
-2.32502 -1.25006  150 
-2.08338 -1.355  150 
-1.66672 -1.54031  150 
-1.39115 -1.66672  150 
-1.25006 -1.72693  150 
-0.8334 -1.90635  150 
-0.440251 -2.08338  150 
-0.41674 -2.09324  150 
-7.999e-05 -2.26669  150 
 0.41658 -2.4481  150 
 0.534955 -2.50004  150 
 0.83324 -2.62163  150 
 1.2499 -2.79616  150 
 1.52985 -2.9167  150 
 1.66656 -2.97145  150 
 2.08322 -3.13907  150 
 2.49988 -3.31411  150 
 2.54592 -3.33336  150 
 2.91654 -3.47712  150 
 3.3332 -3.6443  150 
 3.59096 -3.75002  150 
 3.74986 -3.81056  150 
 4.16652 -3.96992  150 
 4.58318 -4.13587  150 
 4.66086 -4.16668  150 
 4.99984 -4.29122  150 

# Contour 23, label: 
-1.72976  4.99984  150 
-1.66672  4.97295  150 
-1.25006  4.79504  150 
-0.8334  4.6248  150 
-0.73142  4.58318  150 
-0.41674  4.44518  150 
-7.999e-05  4.2684  150 
 0.245211  4.16652  150 
 0.41658  4.08994  150 
 0.83324  3.90668  150 
 1.20415  3.74986  150 
 1.2499  3.72902  150 
 1.66656  3.53935  150 
 2.08322  3.35858  150 
 2.14167  3.3332  150 
 2.49988  3.1661  150 
 2.91654  2.97984  150 
 3.05982  2.91654  150 
 3.3332  2.78659  150 
 3.74986  2.59499  150 
 3.96134  2.49988  150 
 4.16652  2.40046  150 
 4.58318  2.20368  150 
 4.84622  2.08322  150 
 4.99984  2.00732  150 


# Contour 24, label:      100
-5  0.626083  100 
-4.58685  0.41658  100 
-4.58334  0.414953  100 
-4.16668  0.222869  100 
-3.75002  0.0176963  100 
-3.71411 -7.999e-05  100 
-3.33336 -0.171546  100 
-2.9167 -0.370136  100 
-2.82022 -0.41674  100 
-2.50004 -0.557747  100 
-2.08338 -0.749482  100 
-1.90545 -0.8334  100 
-1.66672 -0.936265  100 
-1.25006 -1.12093  100 
-0.969792 -1.25006  100 
-0.8334 -1.30759  100 
-0.41674 -1.48501  100 
-0.0132484 -1.66672  100 
-7.999e-05 -1.67216  100 
 0.41658 -1.84222  100 
 0.83324 -2.02163  100 
 0.974821 -2.08338  100 
 1.2499 -2.193  100 
 1.66656 -2.3637  100 
 1.98654 -2.50004  100 
 2.08322 -2.53775  100 
 2.49988 -2.69973  100 
 2.91654 -2.8701  100 
 3.03008 -2.9167  100 
 3.3332 -3.03012  100 
 3.74986 -3.19035  100 
 4.10675 -3.33336  100 
 4.16652 -3.35524  100 
 4.58318 -3.50543  100 
 4.99984 -3.66247  100 

# Contour 25, label: 
-3.24177  4.99984  100 
-2.9167  4.86624  100 
-2.50004  4.70132  100 
-2.19239  4.58318  100 
-2.08338  4.5373  100 
-1.66672  4.36281  100 
-1.25006  4.19717  100 
-1.17332  4.16652  100 
-0.8334  4.01834  100 
-0.41674  3.84451  100 
-0.184708  3.74986  100 
-7.999e-05  3.66749  100 
 0.41658  3.48554  100 
 0.782028  3.3332  100 
 0.83324  3.3098  100 
 1.2499  3.11982  100 
 1.66656  2.94064  100 
 1.72249  2.91654  100 
 2.08322  2.74691  100 
 2.49988  2.56107  100 
 2.63894  2.49988  100 
 2.91654  2.36628  100 
 3.3332  2.17402  100 
 3.53511  2.08322  100 
 3.74986  1.97739  100 
 4.16652  1.77896  100 
 4.41101  1.66656  100 
 4.58318  1.57963  100 
 4.99984  1.37536  100 


# Contour 26, label:       50
-5  1.48056  50 
-4.58334  1.25348  50 
-4.57685  1.2499  50 
-4.16668  1.05461  50 
-3.75002  0.835099  50 
-3.74651  0.83324  50 
-3.33336  0.643026  50 
-2.9167  0.43211  50 
-2.88631  0.41658  50 
-2.50004  0.244425  50 
-2.08338  0.042876  50 
-1.99624 -7.999e-05  50 
-1.66672 -0.142394  50 
-1.25006 -0.334011  50 
-1.0763 -0.41674  50 
-0.8334 -0.518495  50 
-0.41674 -0.699772  50 
-0.126493 -0.8334  50 
-7.999e-05 -0.884813  50 
 0.41658 -1.05547  50 
 0.83324 -1.24023  50 
 0.855578 -1.25006  50 
 1.2499 -1.40205  50 
 1.66656 -1.57333  50 
 1.88635 -1.66672  50 
 2.08322 -1.74033  50 
 2.49988 -1.89819  50 
 2.91654 -2.06786  50 
 2.95524 -2.08338  50 
 3.3332 -2.21561  50 
 3.74986 -2.36876  50 
 4.08914 -2.50004  50 
 4.16652 -2.52627  50 
 4.58318 -2.66335  50 
 4.99984 -2.80793  50 

# Contour 27, label: 
-5  4.80506  50 
-4.58334  4.66734  50 
-4.32625  4.58318  50 
-4.16668  4.52312  50 
-3.75002  4.36715  50 
-3.33336  4.22069  50 
-3.17999  4.16652  50 
-2.9167  4.06056  50 
-2.50004  3.89906  50 
-2.09053  3.74986  50 
-2.08338  3.74688  50 
-1.66672  3.57006  50 
-1.25006  3.40617  50 
-1.06162  3.3332  50 
-0.8334  3.23292  50 
-0.41674  3.05673  50 
-0.0654626  2.91654  50 
-7.999e-05  2.88681  50 
 0.41658  2.69838  50 
 0.83324  2.52452  50 
 0.892011  2.49988  50 
 1.2499  2.33026  50 
 1.66656  2.14692  50 
 1.8141  2.08322  50 
 2.08322  1.95138  50 
 2.49988  1.75897  50 
 2.70756  1.66656  50 
 2.91654  1.56061  50 
 3.3332  1.35968  50 
 3.57237  1.2499  50 
 3.74986  1.15667  50 
 4.16652  0.947948  50 
 4.40855  0.83324  50 
 4.58318  0.738074  50 
 4.99984  0.52252  50 

