
# Surface 0 of 1 surfaces

# Curve title: ""ml-maths-2-contour_contourtmp13.dat""

# Contour 0, label:       25
 2.35494e-14 -5  0 

# Contour 10, label: 
 8.20121e-13  4.99984  0 
 5.93536e-13  4.58318  0 
 5.61594e-13  4.16652  0 
 1.00524e-12  3.74986  0 
 7.16824e-13  3.3332  0 
 6.88807e-13  2.91654  0 
-1.60419e-13  2.49988  0 
 6.65159e-14  2.08322  0 
 2.20669e-12  1.66656  0 
 1.01418e-12  1.2499  0 
 1.50394e-13  0.83324  0 
 2.30329e-13  0.41658  0 
-7.999e-05  7.36499e-14  0 
-0.41674  6.11267e-13  0 
-0.8334  4.6088e-13  0 
-1.25006  1.63577e-13  0 
-1.66672  3.68918e-13  0 
-2.08338 -4.43798e-13  0 
-2.50004  1.82265e-13  0 
-2.9167  9.82492e-13  0 
-3.33336  9.73795e-13  0 
-3.75002  2.09789e-13  0 
-4.16668 -1.8068e-13  0 
-4.58334  7.80434e-13  0 
-5  2.35519e-14  0 


# Contour 11, label:       -5
 4.99984 -1.00003 -5 
 4.58318 -1.09095 -5 
 4.16652 -1.20004 -5 
 3.99981 -1.25006 -5 
 3.74986 -1.33338 -5 
 3.3332 -1.50006 -5 
 2.9999 -1.66672 -5 
 2.91654 -1.71436 -5 
 2.49988 -2.0001 -5 
 2.39995 -2.08338 -5 
 2.08322 -2.40013 -5 
 1.99997 -2.50004 -5 
 1.71427 -2.9167 -5 
 1.66656 -3.00019 -5 
 1.49999 -3.33336 -5 
 1.33333 -3.75002 -5 
 1.2499 -4.00032 -5 
 1.2 -4.16668 -5 
 1.09091 -4.58334 -5 
 1 -5 -5 

# Contour 12, label: 
-1.00003  4.99984 -5 
-1.09095  4.58318 -5 
-1.20004  4.16652 -5 
-1.25006  3.99981 -5 
-1.33338  3.74986 -5 
-1.50006  3.3332 -5 
-1.66672  2.9999 -5 
-1.71436  2.91654 -5 
-2.0001  2.49988 -5 
-2.08338  2.39995 -5 
-2.40013  2.08322 -5 
-2.50004  1.99997 -5 
-2.9167  1.71427 -5 
-3.00019  1.66656 -5 
-3.33336  1.49999 -5 
-3.75002  1.33333 -5 
-4.00032  1.2499 -5 
-4.16668  1.2 -5 
-4.58334  1.09091 -5 
-5  1 -5 


# Contour 13, label:      -10
 4.99984 -2.00006 -10 
 4.79989 -2.08338 -10 
 4.58318 -2.18189 -10 
 4.16652 -2.40008 -10 
 3.99994 -2.50004 -10 
 3.74986 -2.66677 -10 
 3.42853 -2.9167 -10 
 3.3332 -3.00012 -10 
 2.99998 -3.33336 -10 
 2.91654 -3.42872 -10 
 2.66665 -3.75002 -10 
 2.49988 -4.00019 -10 
 2.39999 -4.16668 -10 
 2.18181 -4.58334 -10 
 2.08322 -4.80026 -10 
 2 -5 -10 

# Contour 14, label: 
-2.00006  4.99984 -10 
-2.08338  4.79989 -10 
-2.18189  4.58318 -10 
-2.40008  4.16652 -10 
-2.50004  3.99994 -10 
-2.66677  3.74986 -10 
-2.9167  3.42853 -10 
-3.00012  3.3332 -10 
-3.33336  2.99998 -10 
-3.42872  2.91654 -10 
-3.75002  2.66665 -10 
-4.00019  2.49988 -10 
-4.16668  2.39999 -10 
-4.58334  2.18181 -10 
-4.80026  2.08322 -10 
-5  2 -10 


# Contour 15, label:      -15
 4.99984 -3.0001 -15 
 4.58318 -3.27284 -15 
 4.49996 -3.33336 -15 
 4.16652 -3.60013 -15 
 3.99998 -3.75002 -15 
 3.74986 -4.00015 -15 
 3.59999 -4.16668 -15 
 3.3332 -4.50018 -15 
 3.27272 -4.58334 -15 
 3 -5 -15 

# Contour 16, label: 
-3.0001  4.99984 -15 
-3.27284  4.58318 -15 
-3.33336  4.49996 -15 
-3.60013  4.16652 -15 
-3.75002  3.99998 -15 
-4.00015  3.74986 -15 
-4.16668  3.59999 -15 
-4.50018  3.3332 -15 
-4.58334  3.27272 -15 
-5  3 -15 


# Contour 17, label:      -20
 4.99984 -4.00013 -20 
 4.79999 -4.16668 -20 
 4.58318 -4.36378 -20 
 4.36363 -4.58334 -20 
 4.16652 -4.80017 -20 
 4 -5 -20 

# Contour 18, label: 
-4.00013  4.99984 -20 
-4.16668  4.79999 -20 
-4.36378  4.58318 -20 
-4.58334  4.36363 -20 
-4.80017  4.16652 -20 
-5  4 -20 

